Player,Pos,G,GS,Rec,Yds,TD,-9999
Justice Hill,RB,15,0,42,383,3,HillJu00
Isaiah Likely,TE,16,9,42,477,6,LikeIs00
D'Andre Swift,RB,17,17,42,386,0,SwifDA00
T.J. Hockenson,TE,10,9,41,455,0,HockTJ00
Tony Pollard,RB,16,16,41,238,0,PollTo00
Devaughn Vele,WR,13,7,41,475,3,VeleDe00
Ameer Abdullah,RB,16,3,40,261,3,AbduAm00
Jordan Akins,TE,17,6,40,390,2,AkinJo00
Noah Gray,TE,17,10,40,437,5,GrayNo00
Brenton Strange,TE,17,10,40,411,2,StraBr00
Tyler Boyd,WR,16,8,39,390,0,BoydTy00
Rico Dowdle,RB,16,15,39,249,3,DowdRi01
Travis Etienne,RB,15,15,39,254,0,EtieTr00
Marvin Mims,WR,17,2,39,503,6,MimsMa00
Josh Palmer,WR,15,7,39,584,1,PalmJo00
Darius Slayton,WR,16,13,39,573,2,SlayDa01
Dontayvion Wicks,WR,17,5,39,415,5,WickDo00
Tyrone Tracy Jr.,RB,17,12,38,284,1,TracTy00
Jaylen Warren,RB,15,0,38,310,0,WarrJa01
Greg Dortch,WR,17,4,37,342,3,DortGr01
Jerome Ford,RB,14,6,37,225,0,FordJe00
Allen Lazard,WR,12,10,37,530,6,LazaAl00
Jalen McMillan,WR,13,12,37,461,8,McMiJa01
Alec Pierce,WR,16,13,37,824,7,PierAl00
Calvin Austin III,WR,17,8,36,548,4,AustCa00
Najee Harris,RB,17,17,36,283,0,HarrNa00
Andrei Iosivas,WR,17,8,36,479,6,IosiAn00
Josh Jacobs,RB,17,17,36,342,1,JacoJo01
Alexander Mattison,RB,14,7,36,294,1,MattAl01
Joe Mixon,RB,14,14,36,309,1,MixoJo00
David Montgomery,RB,14,14,36,341,0,MontDa01
Noah Brown,WR,11,9,35,453,1,BrowNo00
Austin Ekeler,RB,12,6,35,366,0,EkelAu00
Kyren Williams,RB,16,16,34,182,2,WillKy02
Saquon Barkley,RB,16,16,33,278,2,BarkSa00
Tim Patrick,WR,16,9,33,394,3,PatrTi00
Ja'Tavion Sanders,TE,16,8,33,342,1,SandJa01
Rhamondre Stevenson,RB,15,14,33,168,1,StevRh00
